estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
463,31,16,"(1024, 1025)","(2, 8)",66048,0.5262304593181818,8.66540019501765,L3_BW
464,31,16,"(1024, 1025)","(2, 16)",66048,0.5262304593181818,8.66540019501765,L3_BW
465,31,16,"(1024, 1025)","(2, 32)",66048,0.5262304593181818,8.66540019501765,L3_BW
466,31,16,"(1024, 1025)","(2, 64)",66048,0.5262304593181818,8.66540019501765,L3_BW
467,31,16,"(1024, 1025)","(2, 128)",66048,0.5262304593181818,8.66540019501765,L3_BW
468,31,16,"(1024, 1025)","(4, 2)",131328,0.5866054993181818,7.773533541878036,L3_BW
469,31,16,"(1024, 1025)","(4, 4)",65792,0.5255899938636365,8.675959546488407,L3_BW
470,31,16,"(1024, 1025)","(4, 8)",65792,0.5255899938636365,8.675959546488407,L3_BW
471,31,16,"(1024, 1025)","(4, 16)",65792,0.5255899938636365,8.675959546488407,L3_BW
472,31,16,"(1024, 1025)","(4, 32)",65792,0.5255899938636365,8.675959546488407,L3_BW
473,31,16,"(1024, 1025)","(4, 64)",65792,0.5255899938636365,8.675959546488407,L3_BW
474,31,16,"(1024, 1025)","(8, 1)",131200,0.5857714047727273,7.7846024705989665,L3_BW
475,31,16,"(1024, 1025)","(8, 2)",65664,0.5259362920454546,8.670246936307445,L3_BW
476,31,16,"(1024, 1025)","(8, 4)",65664,0.5259362920454546,8.670246936307445,L3_BW
477,31,16,"(1024, 1025)","(8, 8)",65664,0.5259362920454546,8.670246936307445,L3_BW
478,31,16,"(1024, 1025)","(8, 16)",65664,0.5259362920454546,8.670246936307445,L3_BW
479,31,16,"(1024, 1025)","(8, 32)",65664,0.5259362920454546,8.670246936307445,L3_BW
480,31,16,"(1024, 1025)","(16, 1)",65600,0.5262304593181818,8.66540019501765,L3_BW
481,31,16,"(1024, 1025)","(16, 2)",65600,0.5262304593181818,8.66540019501765,L3_BW
482,31,16,"(1024, 1025)","(16, 4)",65600,0.5262304593181818,8.66540019501765,L3_BW
483,31,16,"(1024, 1025)","(16, 8)",65600,0.5262304593181818,8.66540019501765,L3_BW
484,31,16,"(1024, 1025)","(16, 16)",65600,0.5262304593181818,8.66540019501765,L3_BW
485,31,16,"(1024, 1025)","(32, 1)",65600,0.5262304593181818,8.66540019501765,L3_BW
486,31,16,"(1024, 1025)","(32, 2)",65600,0.5262304593181818,8.66540019501765,L3_BW
487,31,16,"(1024, 1025)","(32, 4)",65600,0.5262304593181818,8.66540019501765,L3_BW
488,31,16,"(1024, 1025)","(32, 8)",65600,0.5262304593181818,8.66540019501765,L3_BW
489,31,16,"(1024, 1025)","(64, 1)",65600,0.5262304593181818,8.66540019501765,L3_BW
490,31,16,"(1024, 1025)","(64, 2)",65600,0.5262304593181818,8.66540019501765,L3_BW
491,31,16,"(1024, 1025)","(64, 4)",65600,0.5262304593181818,8.66540019501765,L3_BW
492,31,16,"(1024, 1025)","(128, 1)",65600,0.5262304593181818,8.66540019501765,L3_BW
493,31,16,"(1024, 1025)","(128, 2)",65600,0.5262304593181818,8.66540019501765,L3_BW
494,31,16,"(1024, 1025)","(256, 1)",65600,0.5262304593181818,8.66540019501765,L3_BW
495,31,32,"(1024,)","(8,)",128,1.462605470909091,3.117722185167068,"Latencies, Compute"
496,31,32,"(1024, 1025)","(1, 8)",132096,0.80250546345898,5.6822012215909155,Compute
497,31,32,"(1024,)","(16,)",64,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
498,31,32,"(1024, 1025)","(1, 16)",66560,0.5259362920454546,8.670246936307445,L3_BW
499,31,32,"(1024,)","(32,)",32,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
500,31,32,"(1024, 1025)","(1, 32)",33792,0.4189441175,10.88450066326567,L3_BW
501,31,32,"(1024,)","(64,)",32,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
502,31,32,"(1024, 1025)","(1, 64)",33792,0.4189441175,10.88450066326567,L3_BW
503,31,32,"(1024,)","(128,)",32,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
504,31,32,"(1024, 1025)","(1, 128)",33792,0.4189441175,10.88450066326567,L3_BW
505,31,32,"(1024,)","(256,)",32,1.8120328156818182,2.516509350899475,"Latencies, L3_BW"
506,31,32,"(1024, 1025)","(1, 256)",33792,0.4189441175,10.88450066326567,L3_BW
507,31,32,"(1024, 1025)","(2, 4)",131584,0.8008212400266076,5.6941515745118005,Compute
508,31,32,"(1024, 1025)","(2, 8)",66048,0.5262304593181818,8.66540019501765,L3_BW
509,31,32,"(1024, 1025)","(2, 16)",33280,0.4191172665909091,10.880003970943317,L3_BW
510,31,32,"(1024, 1025)","(2, 32)",33280,0.4191172665909091,10.880003970943317,L3_BW
511,31,32,"(1024, 1025)","(2, 64)",33280,0.4191172665909091,10.880003970943317,L3_BW
512,31,32,"(1024, 1025)","(2, 128)",33280,0.4191172665909091,10.880003970943317,L3_BW
513,31,32,"(1024, 1025)","(4, 2)",131328,0.8015687600266076,5.688841372321738,Compute
514,31,32,"(1024, 1025)","(4, 4)",65792,0.5255899938636365,8.675959546488407,L3_BW
515,31,32,"(1024, 1025)","(4, 8)",33024,0.4185978193181818,10.893505207999866,L3_BW
516,31,32,"(1024, 1025)","(4, 16)",33024,0.4185978193181818,10.893505207999866,L3_BW
517,31,32,"(1024, 1025)","(4, 32)",33024,0.4185978193181818,10.893505207999866,L3_BW
518,31,32,"(1024, 1025)","(4, 64)",33024,0.4185978193181818,10.893505207999866,L3_BW
519,31,32,"(1024, 1025)","(8, 1)",131200,0.798963867503326,5.70738891991385,Compute
520,31,32,"(1024, 1025)","(8, 2)",65664,0.5259362920454546,8.670246936307445,L3_BW
521,31,32,"(1024, 1025)","(8, 4)",32896,0.4189441175,10.88450066326567,L3_BW
522,31,32,"(1024, 1025)","(8, 8)",32896,0.4189441175,10.88450066326567,L3_BW
523,31,32,"(1024, 1025)","(8, 16)",32896,0.4189441175,10.88450066326567,L3_BW
524,31,32,"(1024, 1025)","(8, 32)",32896,0.4189441175,10.88450066326567,L3_BW
525,31,32,"(1024, 1025)","(16, 1)",65600,0.5262304593181818,8.66540019501765,L3_BW
526,31,32,"(1024, 1025)","(16, 2)",32832,0.4191172665909091,10.880003970943317,L3_BW
527,31,32,"(1024, 1025)","(16, 4)",32832,0.4191172665909091,10.880003970943317,L3_BW
528,31,32,"(1024, 1025)","(16, 8)",32832,0.4191172665909091,10.880003970943317,L3_BW
529,31,32,"(1024, 1025)","(16, 16)",32832,0.4191172665909091,10.880003970943317,L3_BW
530,31,32,"(1024, 1025)","(32, 1)",32800,0.4192038411363636,10.877757017776633,L3_BW
531,31,32,"(1024, 1025)","(32, 2)",32800,0.4192038411363636,10.877757017776633,L3_BW
532,31,32,"(1024, 1025)","(32, 4)",32800,0.4192038411363636,10.877757017776633,L3_BW
533,31,32,"(1024, 1025)","(32, 8)",32800,0.4192038411363636,10.877757017776633,L3_BW
534,31,32,"(1024, 1025)","(64, 1)",32800,0.4192038411363636,10.877757017776633,L3_BW
